ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
nybc211376	Krausz, A	Dos Lebn fun Baal Shem-Ṭov ṿunderlekhe mayśes̀, mofs̀im, dertseylungen un di lebns-bashraybung funem ... Yiśraʼel Baal Shem Ṭov ... oykh fun Ḳozshenitser Magid Rabi Yiśraʼel, zatsal un funm Ḥozeh fun Lublin, Rabi Yaaḳov Yitsḥaḳ ha-Leṿi Horoṿiṭts, zatsal	"דאס לעבן פון בעל שם-טוב : ווונדערלעכע מעשיות, מופתים, דערציילונגען און די לעבנס-באשרייבונג פונעם ... ישראל בעל שם טוב ... אויך פון קאזשעניצער מגיד רבי ישראל, זצ""ל און פונם חוזה פון לובלין, רבי יעקב יצחק הלוי הורוויטץ, זצ""ל"	Ṿilyamsburg : A.A. Ḳroyz	Ṿilyamsburg 	Ṿilyamsburg	A. A. Ḳroyz	1967	yid	192
nybc211377	Chait, Aaron	Sharfzin, may ḳa mashma lan an oytser fun Toyre, ḥokhme, Idish un ṿelṭlikh ṿisen...	שארפזין, מאי קא משמע לן : אן אוצר פון תורה, חכמה, אידיש און וועלטליך וויסען	Nyu Yorḳ : Sharfzin publiḳatsye fond	Nyu Yorḳ 	New York, N.Y.	Sharfzin publiḳatsye fond	1954	yid	106
nybc211378	Landau, Eli	Yerusholayim oyf eybiḳ	ירושלים אויף אייביק	Originally published: Tel Aviv : Otpaz	Originally published		Tel Aviv : Otpaz	1968	yid	178
nybc211380	Teitsh, Moishe, 1882-1935	Shrifṭen	שריפטען	Ṿarsha : Ṿelṭ-biblioṭeḳ	Ṿarsha 	Warsaw	Ṿelṭ-biblioṭeḳ	1910	yid	240
nybc211381	Grajlich, Herman	Ṿegen maṭeryalisṭishen farshṭeyn di geshikhṭe	וועגען מאטעריאליסטישען פארשטיין די געשיכטע	Ṿarshe : Ferlag arbeyṭer heym	Ṿarshe 	Warsaw	Ferlag arbeyṭer heym	1922	yid	34
nybc211382		Ḳapiṭalizm, Sotsyalizm un Ḳomunizm	קאפיטאליזם, סאציאליזם און קאמוניזם	Nyu Yorḳ : Inṭernatsyonaler Arbeṭer Ordn	Nyu Yorḳ 	New York, N.Y.	Inṭernatsyonaler arbeṭer ordn	1931	yid	98
nybc211383	Prus, Bolesław, 1847-1912	Di ḳroyn fun Mitsrayim hisṭorisher roman	די קרוין פון מצרים : היסטארישער ראמאן	Ṿarshoy : A. Giṭlin	Ṿarshoy 	Warsaw	A. Giṭlin	1918	yid	412
nybc211384	Prus, Bolesław, 1847-1912	Di ḳroyn fun Mitsrayim hisṭorisher roman	די קרוין פון מצרים : היסטארישער ראמאן	Ṿarshoy : A. Giṭlin	Ṿarshoy 	Warsaw	A. Giṭlin	1918	yid	496
nybc211385	Prus, Bolesław, 1847-1912	Di ḳroyn fun Mitsrayim hisṭorisher roman	די קרוין פון מצרים : היסטארישער ראמאן	Ṿarshoy : A. Giṭlin	Ṿarshoy 	Warsaw	A. Giṭlin	1918	yid	404
nybc211387	Zola, Emile, 1840-1902	Zsherminal a sotsyaler roman fun der tsayṭ fun der tsṿeyṭer imperye	זשערמינאל : א סאציאלער ראמאן פון דער צייט פון דער צווייטער אימפעריע	Ṿarshe : S. Goldfarb	Ṿarshe 	Warsaw	S. Goldfarb	1927	yid	328
